od,before,after,delta
FAN->CHH,4.0,8.669999999999998,4.669999999999998
FAN->DIH,3.91,8.579999999999998,4.669999999999998
FAN->HOM,4.05,8.739999999999998,4.689999999999999
FAN->KOB,4.11,8.779999999999998,4.669999999999997
FAN->KOT,3.62,8.819999999999999,5.199999999999998
FAN->KWT,4.370000000000001,9.039999999999997,4.669999999999996
FAN->LAT,4.470000000000001,9.139999999999997,4.669999999999996
FAN->LOF,3.72,8.739999999999998,5.019999999999998
FAN->MOK,3.89,8.909999999999998,5.019999999999998
FAN->NTK,4.220000000000001,8.889999999999997,4.669999999999996
FAN->PRE,3.81,8.999999999999998,5.189999999999998
FAN->SKM,3.72,8.919999999999998,5.1999999999999975
FAN->TIK,4.670000000000001,9.339999999999996,4.6699999999999955
FAN->WHA,4.09,8.779999999999998,4.689999999999998
FAN->WTS,3.8200000000000003,8.659999999999998,4.839999999999998
FAN->YAT,4.5600000000000005,9.229999999999997,4.669999999999996
FAN->YMT,3.97,8.809999999999999,4.839999999999998
FOT->CHH,3.65,8.32,4.67
FOT->DIH,3.56,8.23,4.67
FOT->HOM,3.7,8.389999999999999,4.689999999999999
FOT->KOB,3.76,8.43,4.67
FOT->KOT,3.27,8.47,5.200000000000001
FOT->KWT,4.02,8.69,4.67
FOT->LAT,4.119999999999999,8.79,4.67
FOT->LOF,3.37,8.39,5.0200000000000005
FOT->MOK,3.54,8.559999999999999,5.019999999999999
FOT->NTK,3.8699999999999997,8.54,4.67
FOT->PRE,3.46,8.649999999999999,5.189999999999999
FOT->SKM,3.37,8.57,5.2
FOT->TIK,4.319999999999999,8.989999999999998,4.669999999999999
FOT->WHA,3.74,8.429999999999998,4.689999999999998
FOT->WTS,3.47,8.31,4.84
FOT->YAT,4.209999999999999,8.879999999999999,4.67
FOT->YMT,3.62,8.459999999999999,4.839999999999999
LMC->CHH,4.13,8.8,4.670000000000001
LMC->DIH,4.04,8.71,4.670000000000001
LMC->HOM,4.18,8.87,4.6899999999999995
LMC->KOB,4.24,8.91,4.67
LMC->KOT,3.75,8.950000000000001,5.200000000000001
LMC->KWT,4.500000000000001,9.17,4.669999999999999
LMC->LAT,4.6000000000000005,9.27,4.669999999999999
