Source,Target,Volume
ADM_EAL,ADM_ISL,761804.59
ADM_EAL,ADM_SIL,247645.81
ADM_EAL,ADM_TWL,711309.1
ADM_EAL,EXC_EAL,1227316.9
ADM_ISL,ADM_EAL,774647.92
ADM_ISL,ADM_SIL,245765.24
ADM_ISL,ADM_TWL,886520.38
ADM_ISL,CEN_ISL,1780010.38
ADM_ISL,WAC_ISL,2460930.54
ADM_SIL,ADM_EAL,234940.13
ADM_SIL,ADM_ISL,258450.38
ADM_SIL,ADM_TWL,84926.04
ADM_SIL,OCP_SIL,191011.43
ADM_TWL,ADM_EAL,679183.96
ADM_TWL,ADM_ISL,997516.84
ADM_TWL,ADM_SIL,87419.27
ADM_TWL,CEN_TWL,1065260.04
ADM_TWL,TST_TWL,2138580.76
AIR_AEL,TSY_AEL,8406.07
AIR_AEL,AWE_AEL,3598.8
AUS_TML,ETS_TML,108668.02
AUS_TML,NAC_TML,81541.22
AWE_AEL,AIR_AEL,3653.06
CAB_ISL,WAC_ISL,2240339.26
CAB_ISL,TIH_ISL,2165843.58
CEN_ISL,CEN_TWL,694727.8
CEN_ISL,SHW_ISL,1566351.88
CEN_ISL,ADM_ISL,1725846.84
CEN_ISL,HOK_AEL,13872.88
CEN_ISL,HOK_TCL,20653.23
CEN_TWL,CEN_ISL,676716.34
CEN_TWL,ADM_TWL,1086296.92
CEN_TWL,HOK_AEL,34392.9
CEN_TWL,HOK_TCL,72196.69
CHH_KTL,DIH_KTL,1928459.65
CHH_KTL,KOB_KTL,1529220.81
CHW_ISL,HFC_ISL,120567.57
CIO_TML,SHM_TML,115051.54
CIO_TML,STW_TML,343852.42
CKT_TML,STW_TML,140637.15
CKT_TML,TAW_TML,437561.93
CSW_TWL,SSP_TWL,2933733.48
CSW_TWL,LCK_TWL,2288109.93
DIH_KTL,DIH_TML,726490.87
DIH_KTL,WTS_KTL,1941061.23
DIH_KTL,CHH_KTL,1720911.42
DIH_TML,DIH_KTL,290423.82
DIH_TML,HIK_TML,185816.73
DIH_TML,KAT_TML,1106089.49
DIS_DRL,SUN_DRL,4490.5
ETS_TML,HUH_TML,580155.08
ETS_TML,AUS_TML,136069.43
EXC_EAL,ADM_EAL,1258662.03
EXC_EAL,HUH_EAL,1329736.97
FAN_EAL,TWO_EAL,559927.46
FAN_EAL,SHS_EAL,366313.81
FOH_ISL,TIH_ISL,1928313.87
FOH_ISL,NOP_ISL,1840172.84
FOT_EAL,SHT_EAL,934292.92
FOT_EAL,UNI_EAL,841108.26
HAH_TKL,TKO_TKL,307530.66
HAH_TKL,POA_TKL,165529.0
HEO_TML,MOS_TML,32735.78
HEO_TML,TSH_TML,121734.89
HFC_ISL,SKW_ISL,235140.16
HFC_ISL,CHW_ISL,391795.56
