Origin,Destination,O_Cluster,D_Cluster,Travel_Time_Min,Transfers,Target_Flow_Baseline,O_GOV,D_GOV,O_CUF,D_CUF,O_TRS,D_TRS,O_RSF,D_RSF,O_CMF,D_CMF,O_UTI,D_UTI,O_BUS,D_BUS,O_MUF,D_MUF,O_SCH,D_SCH,O_AMD,D_AMD,O_TRH,D_TRH,O_REM,D_REM,O_HNC,D_HNC,O_TRF,D_TRF,O_COM,D_COM,O_BGD,D_BGD,Predicted_Flow
ADM,AIR,Special/Industrial,Residential,8.6,1,86.71875,80.0,6.0,23.0,0.0,23.0,12.0,20.0,1.0,19.0,3.0,15.0,5.0,10.0,4.0,9.0,1.0,8.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,125.3128
ADM,AUS,Special/Industrial,Mixed,5.42,1,1273.4736658223426,80.0,10.0,23.0,3.0,23.0,44.0,20.0,22.0,19.0,32.0,15.0,12.0,10.0,7.0,9.0,13.0,8.0,12.0,6.0,67.0,1.0,0.0,1.0,11.0,1.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,1196.772
ADM,AWE,Special/Industrial,Residential,9.799999999999999,1,22.22222222222223,80.0,1.0,23.0,1.0,23.0,6.0,20.0,0.0,19.0,2.0,15.0,0.0,10.0,0.0,9.0,0.0,8.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.764183
ADM,CAB,Special/Industrial,Special/Industrial,0.14,0,47700.83102493074,80.0,25.0,23.0,7.0,23.0,31.0,20.0,23.0,19.0,66.0,15.0,7.0,10.0,22.0,9.0,11.0,8.0,13.0,6.0,56.0,1.0,2.0,1.0,10.0,1.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,46450.895
ADM,CEN,Special/Industrial,Special/Industrial,0.07,0,53957.55087780592,80.0,61.0,23.0,29.0,23.0,34.0,20.0,30.0,19.0,50.0,15.0,7.0,10.0,13.0,9.0,11.0,8.0,11.0,6.0,23.0,1.0,4.0,1.0,8.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,54033.62
ADM,CHH,Special/Industrial,Mixed,3.67,1,1753.045774890068,80.0,7.0,23.0,4.0,23.0,14.0,20.0,46.0,19.0,13.0,15.0,28.0,10.0,8.0,9.0,17.0,8.0,20.0,6.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,1720.837
ADM,CHW,Special/Industrial,Commercial Hub,0.95,0,14314.792899408285,80.0,16.0,23.0,8.0,23.0,15.0,20.0,57.0,19.0,26.0,15.0,19.0,10.0,9.0,9.0,29.0,8.0,29.0,6.0,1.0,1.0,1.0,1.0,12.0,1.0,20.0,0.0,1.0,0.0,9.0,0.0,0.0,12847.99
ADM,CIO,Special/Industrial,Mixed,7.52,1,419.5596111882564,80.0,8.0,23.0,2.0,23.0,18.0,20.0,23.0,19.0,15.0,15.0,11.0,10.0,8.0,9.0,16.0,8.0,13.0,6.0,1.0,1.0,0.0,1.0,12.0,1.0,9.0,0.0,2.0,0.0,3.0,0.0,0.0,539.8297
ADM,CKT,Special/Industrial,Mixed,3.52,1,1554.1545931552982,80.0,3.0,23.0,7.0,23.0,10.0,20.0,50.0,19.0,9.0,15.0,8.0,10.0,2.0,9.0,15.0,8.0,16.0,6.0,1.0,1.0,1.0,1.0,12.0,1.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,1661.6888
ADM,CSW,Special/Industrial,Commercial Hub,1.1,0,15918.367346938776,80.0,22.0,23.0,7.0,23.0,20.0,20.0,54.0,19.0,40.0,15.0,14.0,10.0,5.0,9.0,23.0,8.0,47.0,6.0,13.0,1.0,0.0,1.0,38.0,1.0,35.0,0.0,0.0,0.0,7.0,0.0,0.0,15258.835
ADM,DIH,Special/Industrial,Mixed,3.58,1,1637.2685494174405,80.0,7.0,23.0,3.0,23.0,21.0,20.0,39.0,19.0,25.0,15.0,7.0,10.0,3.0,9.0,10.0,8.0,20.0,6.0,1.0,1.0,0.0,1.0,10.0,1.0,4.0,0.0,5.0,0.0,3.0,0.0,1.0,1489.0527
ADM,DIS,Special/Industrial,Residential,9.68,2,53.02360813028658,80.0,0.0,23.0,0.0,23.0,3.0,20.0,20.0,19.0,1.0,15.0,2.0,10.0,1.0,9.0,1.0,8.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.61389
ADM,ETS,Special/Industrial,Special/Industrial,3.42,1,7827.849552629962,80.0,9.0,23.0,19.0,23.0,41.0,20.0,17.0,19.0,50.0,15.0,3.0,10.0,10.0,9.0,6.0,8.0,4.0,6.0,544.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5956.017
ADM,EXC,Special/Industrial,Residential,0.07,0,34902.61158179754,80.0,57.0,23.0,9.0,23.0,30.0,20.0,14.0,19.0,17.0,15.0,6.0,10.0,4.0,9.0,10.0,8.0,1.0,6.0,26.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,34551.656
ADM,FAN,Special/Industrial,Mixed,1.02,0,9210.861680227428,80.0,15.0,23.0,1.0,23.0,13.0,20.0,37.0,19.0,16.0,15.0,6.0,10.0,13.0,9.0,12.0,8.0,34.0,6.0,1.0,1.0,1.0,1.0,11.0,1.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,7012.188
ADM,FOH,Special/Industrial,Commercial Hub,0.29000000000000004,0,30113.574905354242,80.0,17.0,23.0,2.0,23.0,16.0,20.0,26.0,19.0,36.0,15.0,14.0,10.0,5.0,9.0,14.0,8.0,42.0,6.0,17.0,1.0,0.0,1.0,25.0,1.0,13.0,0.0,3.0,0.0,2.0,0.0,0.0,29334.57
ADM,FOT,Special/Industrial,Residential,0.58,0,7008.492228809485,80.0,8.0,23.0,3.0,23.0,11.0,20.0,8.0,19.0,11.0,15.0,8.0,10.0,4.0,9.0,9.0,8.0,12.0,6.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,7194.793
ADM,HAH,Special/Industrial,Mixed,4.08,1,1665.6333312666625,80.0,7.0,23.0,1.0,23.0,18.0,20.0,55.0,19.0,22.0,15.0,6.0,10.0,7.0,9.0,24.0,8.0,34.0,6.0,0.0,1.0,0.0,1.0,12.0,1.0,6.0,0.0,2.0,0.0,5.0,0.0,0.0,1783.7797
ADM,HEO,Special/Industrial,Mixed,8.12,1,373.96121883656514,80.0,4.0,23.0,4.0,23.0,12.0,20.0,48.0,19.0,13.0,15.0,10.0,10.0,5.0,9.0,16.0,8.0,18.0,6.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,472.7871
ADM,HFC,Special/Industrial,Residential,0.8899999999999999,0,3265.3061224489797,80.0,3.0,23.0,2.0,23.0,6.0,20.0,7.0,19.0,5.0,15.0,6.0,10.0,2.0,9.0,5.0,8.0,14.0,6.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2805.1824
ADM,HIK,Special/Industrial,Residential,5.38,1,419.2175784436081,80.0,3.0,23.0,7.0,23.0,7.0,20.0,15.0,19.0,6.0,15.0,6.0,10.0,4.0,9.0,15.0,8.0,9.0,6.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,480.51492
ADM,HKU,Special/Industrial,Mixed,0.31,0,23788.823495134315,80.0,7.0,23.0,9.0,23.0,18.0,20.0,34.0,19.0,25.0,15.0,8.0,10.0,1.0,9.0,9.0,8.0,42.0,6.0,3.0,1.0,0.0,1.0,18.0,1.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,23300.969
ADM,HOK,Special/Industrial,Special/Industrial,5.07,1,1641.475482359838,80.0,65.0,23.0,17.0,23.0,38.0,20.0,25.0,19.0,52.0,15.0,8.0,10.0,27.0,9.0,11.0,8.0,3.0,6.0,20.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,1487.6608
ADM,HOM,Special/Industrial,Mixed,3.2600000000000002,1,2166.2368577663165,80.0,8.0,23.0,4.0,23.0,16.0,20.0,47.0,19.0,16.0,15.0,8.0,10.0,1.0,9.0,13.0,8.0,23.0,6.0,8.0,1.0,0.0,1.0,4.0,1.0,14.0,0.0,13.0,0.0,3.0,0.0,4.0,2249.8542
ADM,HUH,Special/Industrial,Residential,0.14,0,19113.573407202213,80.0,12.0,23.0,7.0,23.0,26.0,20.0,9.0,19.0,16.0,15.0,3.0,10.0,5.0,9.0,6.0,8.0,9.0,6.0,7.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0,4.0,18811.201
ADM,JOR,Special/Industrial,Special/Industrial,0.18,0,68411.37604136743,80.0,17.0,23.0,7.0,23.0,22.0,20.0,29.0,19.0,57.0,15.0,13.0,10.0,5.0,9.0,19.0,8.0,23.0,6.0,208.0,1.0,2.0,1.0,28.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,66688.22
ADM,KAT,Special/Industrial,Residential,5.319999999999999,1,475.8852747957059,80.0,13.0,23.0,2.0,23.0,24.0,20.0,6.0,19.0,16.0,15.0,6.0,10.0,8.0,9.0,3.0,8.0,4.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,498.95142
ADM,KET,Special/Industrial,Mixed,0.37,0,18068.091001118864,80.0,7.0,23.0,6.0,23.0,13.0,20.0,36.0,19.0,20.0,15.0,9.0,10.0,6.0,9.0,15.0,8.0,20.0,6.0,2.0,1.0,0.0,1.0,12.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,18250.568
ADM,KOB,Special/Industrial,Mixed,3.78,1,2013.6202097302223,80.0,13.0,23.0,8.0,23.0,23.0,20.0,58.0,19.0,25.0,15.0,8.0,10.0,7.0,9.0,18.0,8.0,24.0,6.0,0.0,1.0,0.0,1.0,13.0,1.0,10.0,0.0,4.0,0.0,2.0,0.0,0.0,1826.2977
ADM,KOT,Special/Industrial,Mixed,0.29000000000000004,0,20248.78312601406,80.0,5.0,23.0,2.0,23.0,15.0,20.0,39.0,19.0,10.0,15.0,8.0,10.0,6.0,9.0,10.0,8.0,44.0,6.0,3.0,1.0,0.0,1.0,6.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,19942.516
ADM,KOW,Special/Industrial,Residential,5.22,1,390.81481787822713,80.0,6.0,23.0,3.0,23.0,34.0,20.0,2.0,19.0,8.0,15.0,3.0,10.0,4.0,9.0,0.0,8.0,4.0,6.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,342.96
ADM,KSR,Special/Industrial,Residential,4.37,1,179.76967011017135,80.0,1.0,23.0,0.0,23.0,7.0,20.0,2.0,19.0,2.0,15.0,2.0,10.0,5.0,9.0,5.0,8.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.46063
ADM,KWF,Special/Industrial,Mixed,1.5100000000000002,0,7131.315375946412,80.0,11.0,23.0,4.0,23.0,22.0,20.0,38.0,19.0,24.0,15.0,11.0,10.0,20.0,9.0,24.0,8.0,27.0,6.0,0.0,1.0,0.0,1.0,11.0,1.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,6760.979
ADM,KWH,Special/Industrial,Mixed,1.5800000000000003,0,7852.89345592212,80.0,18.0,23.0,4.0,23.0,23.0,20.0,66.0,19.0,25.0,15.0,16.0,10.0,9.0,9.0,21.0,8.0,33.0,6.0,2.0,1.0,0.0,1.0,13.0,1.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,8738.151
ADM,KWT,Special/Industrial,Mixed,4.04,1,1870.7482993197277,80.0,24.0,23.0,2.0,23.0,50.0,20.0,26.0,19.0,28.0,15.0,12.0,10.0,14.0,9.0,11.0,8.0,16.0,6.0,2.0,1.0,0.0,1.0,12.0,1.0,11.0,0.0,7.0,0.0,4.0,0.0,1.0,1666.7316
ADM,LAK,Special/Industrial,Mixed,1.3900000000000001,0,4802.436932126538,80.0,7.0,23.0,2.0,23.0,18.0,20.0,20.0,19.0,8.0,15.0,19.0,10.0,6.0,9.0,17.0,8.0,14.0,6.0,0.0,1.0,0.0,1.0,3.0,1.0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,4090.0078
ADM,LAT,Special/Industrial,Mixed,4.14,1,1299.9439809838152,80.0,10.0,23.0,3.0,23.0,16.0,20.0,41.0,19.0,15.0,15.0,4.0,10.0,13.0,9.0,12.0,8.0,25.0,6.0,0.0,1.0,0.0,1.0,6.0,1.0,6.0,0.0,5.0,0.0,3.0,0.0,0.0,1476.0187
ADM,LCK,Special/Industrial,Mixed,1.1700000000000002,0,8027.352460234874,80.0,11.0,23.0,2.0,23.0,45.0,20.0,18.0,19.0,26.0,15.0,18.0,10.0,12.0,9.0,13.0,8.0,14.0,6.0,2.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,7930.275
ADM,LET,Special/Industrial,Mixed,1.87,0,3749.9544731634473,80.0,5.0,23.0,5.0,23.0,15.0,20.0,31.0,19.0,12.0,15.0,5.0,10.0,10.0,9.0,18.0,8.0,18.0,6.0,1.0,1.0,0.0,1.0,7.0,1.0,12.0,0.0,2.0,0.0,2.0,0.0,0.0,3143.1636
ADM,LHP,Special/Industrial,Residential,3.93,1,382.1451641438558,80.0,3.0,23.0,2.0,23.0,13.0,20.0,2.0,19.0,5.0,15.0,6.0,10.0,2.0,9.0,0.0,8.0,7.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,317.5883
