Origin,Destination,Travel_Time_Min,Transfers,Target_Flow_Baseline,Predicted_Flow
ADM,AIR,8.6,1,0.010850694444444444,0.010608079
ADM,AUS,5.42,1,0.0242621868964781,0.024380168
ADM,AWE,9.799999999999999,1,0.008573388203017835,0.008799443
ADM,CAB,0.14,0,0.7694675284702984,0.761559
ADM,CEN,0.07,0,0.8734387282732116,0.87337005
ADM,CHH,3.67,1,0.045852839895638944,0.045918293
ADM,CHW,0.95,0,0.26298487836949375,0.26027578
ADM,CIO,7.52,1,0.013775926293283962,0.013754786
ADM,CKT,3.52,1,0.04894666771086226,0.049279474
ADM,CSW,1.1,0,0.22675736961451246,0.2231926
ADM,DIH,3.58,1,0.04767262256631261,0.047562882
ADM,DIS,9.68,2,0.008767130973923046,0.008799443
ADM,ETS,3.42,1,0.051186503142851295,0.05117125
ADM,EXC,0.07,0,0.8734387282732116,0.87337005
ADM,FAN,1.02,0,0.2450740123517302,0.24166647
ADM,FOH,0.29000000000000004,0,0.6009254251547382,0.59157366
ADM,FOT,0.58,0,0.40057683063611593,0.393596
ADM,HAH,4.08,1,0.038750077500155,0.038806163
ADM,HEO,8.12,1,0.012022930132348416,0.012132986
ADM,HFC,0.8899999999999999,0,0.27994736989445984,0.2798279
ADM,HIK,5.38,1,0.02456736863827989,0.02468423
ADM,HKU,0.31,0,0.5827166249053085,0.59157366
ADM,HOK,5.07,1,0.027140798319441765,0.027135413
ADM,HOM,3.2600000000000002,1,0.05510370517313585,0.054687966
ADM,HUH,0.14,0,0.7694675284702984,0.761559
ADM,JOR,0.18,0,0.7181844297615628,0.71147573
ADM,KAT,5.319999999999999,1,0.025036051914757256,0.02513171
ADM,KET,0.37,0,0.5327934359848686,0.54113084
ADM,KOB,3.78,1,0.04376674077834773,0.043285854
ADM,KOT,0.29000000000000004,0,0.6009254251547382,0.59157366
ADM,KOW,5.22,1,0.02584754086496211,0.025768032
ADM,KSR,4.37,1,0.03467779130211639,0.034852
ADM,KWF,1.5100000000000002,0,0.1587276392438215,0.14009075
ADM,KWH,1.5800000000000003,0,0.15023135628868456,0.14009075
ADM,KWT,4.04,1,0.03936759889140841,0.03927522
ADM,LAK,1.3900000000000001,0,0.17506696311339087,0.17804612
ADM,LAT,4.14,1,0.03785068661145514,0.037800595
ADM,LCK,1.1700000000000002,0,0.21236382169933532,0.20177197
