Station Code,Station ID,Chinese Name,English Name,Lines,Is_Interchange,Barrier_Free_Facilities_Count,Facilities_AJ_Count,Facilities_HJ_Count,Facilities_MJ_Count,Facilities_VJ_Count,Station ID_poi,English Name_poi,Total_POI,GOV,CUF,TRS,RSF,CMF,UTI,BUS,MUF,SCH,AMD,TRH,REM,HNC,TRF,COM,BGD,Cluster,Cluster_Name
ADM,2.0,金鐘,Admiralty,"EAL,ISL,SIL,TWL",True,22,3,7,4,8,2.0,Admiralty,216,80.0,23.0,23.0,20.0,19.0,15.0,10.0,9.0,8.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0,Mixed
AIR,47.0,機場,Airport,AEL,False,15,1,5,2,7,47.0,Airport,37,6.0,0.0,12.0,1.0,3.0,5.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2,Commercial
AUS,111.0,柯士甸,Austin,TML,False,21,3,5,4,9,111.0,Austin,243,10.0,3.0,44.0,22.0,32.0,12.0,7.0,13.0,12.0,67.0,0.0,11.0,8.0,1.0,1.0,0.0,2,Commercial
AWE,56.0,博覽館,AsiaWorld-Expo,AEL,False,20,2,5,4,9,56.0,AsiaWorld-Expo,12,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,Commercial
CAB,28.0,銅鑼灣,Causeway Bay,ISL,False,20,2,5,4,9,28.0,Causeway Bay,287,25.0,7.0,31.0,23.0,66.0,7.0,22.0,11.0,13.0,56.0,2.0,10.0,8.0,5.0,1.0,0.0,0,Mixed
CEN,1.0,中環,Central,"ISL,TWL",True,20,2,5,4,9,1.0,Central,286,61.0,29.0,34.0,30.0,50.0,7.0,13.0,11.0,11.0,23.0,4.0,8.0,1.0,3.0,1.0,0.0,0,Mixed
CHH,12.0,彩虹,Choi Hung,KTL,False,20,2,5,4,9,12.0,Choi Hung,177,7.0,4.0,14.0,46.0,13.0,28.0,8.0,17.0,20.0,0.0,0.0,9.0,0.0,6.0,5.0,0.0,1,Residential
CHW,37.0,柴灣,Chai Wan,ISL,False,20,2,5,4,9,37.0,Chai Wan,252,16.0,8.0,15.0,57.0,26.0,19.0,9.0,29.0,29.0,1.0,1.0,12.0,20.0,1.0,9.0,0.0,1,Residential
CIO,98.0,第一城,City One,TML,False,21,2,5,4,10,98.0,City One,141,8.0,2.0,18.0,23.0,15.0,11.0,8.0,16.0,13.0,1.0,0.0,12.0,9.0,2.0,3.0,0.0,2,Commercial
CKT,96.0,車公廟,Che Kung Temple,TML,False,22,3,5,4,10,96.0,Che Kung Temple,147,3.0,7.0,10.0,50.0,9.0,8.0,2.0,15.0,16.0,1.0,1.0,12.0,9.0,0.0,4.0,0.0,1,Residential
