"乘客量 (以千人次計)"

"月份","港鐵本地服務(1)","","機場快","","過境","","城際客運, 輕鐵及巴士","","高鐵(2)"
"","每月總量","周日平均量","每月總量","日均量","每月總量","日均量","每月總量","日均量","每月總量","日均量"
"二零二六年二月","123,313","4,870","952","34","8,736","312","16,101","575","3,079","110"
"二零二六年一月","140,775","4,834","1,125","36.3","9,751","315","18,668","602","2,698","87"
"二零二五年十二月","137,779","4,735","1,248","40.3","9,805","316","18,065","583","2,950","95.2"
"二零二五年十一月","137,035","4,867","1,145","38.2","9,368","312","18,292","610","2,526","84.2"
"二零二五年十月","140,030","4,887","1,141","36.8","9,444","305","19,046","614","2,773","89.5"
"二零二五年九月","128,279","4,859","1,042","34.7","8,117","271","17,535","585","2,112","70.4"
"二零二五年八月","132,777","4,620","1,204","38.9","9,904","319","17,110","552","3,242","104.6"
"二零二五年七月","132,527","4,593","1,120","36.1","8,848","285","17,534","566","2,762","89.1"
"二零二五年六月","129,071","4,567","977","32.6","8,350","278","17,783","593","2,291","76.4"
"二零二五年五月","132,820","4,592","1,085","35","8,768","283","18,329","591","2,454","79.2"
"二零二五年四月","124,808","4,584","1,148","38.3","8,861","295","16,674","556","2,777","92.6"
"二零二五年三月","137,890","4,712","1,116","36","8,801","284","18,377","593","2,274","73.3"
"二零二五年二月","124,880","4,707","962","34.3","7,612","272","16,132","576","2,187","78.1"

"(1) 港鐵本地服務包括荃灣綫、港島綫、南港島綫、觀塘綫、東涌綫、將軍澳綫、迪士尼綫、東鐵綫(不包括過境綫)及屯馬綫"
"(2) 高速鐵路(高鐵)於2018年9月23日投入服務。"
